account_balance,title,amount,id,account_id
1134,Account dividends,769,371204371051,1764110846157
5414,Monthly payment,-211,2437650003258,2461350691248
3452,Account dividends,960,105373148219,2407263822039
2084,Transfer between accounts,877,2339403316718,2999321897371
388,Transfer between accounts,245,1588460935921,1396537363919
2699,Transfer between accounts,-1151,3438815251400,1326446861208
2276,Account dividends,404,689275896485,891867919973
1953,Transfer between accounts,-112,2051608335568,276132485756
4929,Transfer between accounts,-1196,3722288969694,489438901964
1765,Account dividends,-1092,146914503164,3336180361254
4359,Monthly payment,-1168,3456476343727,1764110846157
2295,Monthly payment,597,3665860659395,2461350691248
729,Monthly payment,-760,1122744157190,2407263822039
4335,Monthly payment,-693,47174590912,2999321897371
1150,Account dividends,935,1175672628865,1396537363919
4681,Account dividends,-631,4381880262039,1326446861208
4227,Transfer between accounts,-859,2280747563022,891867919973
4418,Account dividends,473,4332204779561,276132485756
2490,Transfer between accounts,-1184,3305465261464,489438901964
2565,Transfer between accounts,-916,3289225358279,3336180361254
1173,Account dividends,-649,1329878948368,1764110846157
4566,Monthly payment,1185,1251685550284,2461350691248
1994,Account dividends,-116,2716871598156,2407263822039
1158,Transfer between accounts,-188,60968438074,2999321897371
630,Transfer between accounts,-1126,2053748160444,1396537363919
4768,Account dividends,1192,1327350597270,1326446861208
1922,Account dividends,-903,4339384776395,891867919973
3178,Transfer between accounts,-589,1192316908485,276132485756
4916,Monthly payment,16,4029338734694,489438901964
396,Monthly payment,-234,3016515003184,3336180361254
998,Account dividends,389,3742187377817,1764110846157
2731,Monthly payment,-453,902434256334,2461350691248
3856,Transfer between accounts,-586,3703975871573,2407263822039
4252,Account dividends,927,3468735098970,2999321897371
1526,Transfer between accounts,-221,2621915857114,1396537363919
3244,Monthly payment,-568,982705290599,1326446861208
639,Transfer between accounts,-434,2506241037181,891867919973
922,Account dividends,931,1877951782293,276132485756
5160,Account dividends,-135,3233890831099,489438901964
872,Monthly payment,-964,407228351450,3336180361254
3929,Monthly payment,-794,1756063485519,1764110846157
4427,Monthly payment,-778,2317490847818,2461350691248
3260,Monthly payment,-73,3193732905030,2407263822039
1761,Account dividends,148,449069586601,2999321897371
2608,Monthly payment,-1022,2992537321092,1396537363919
1356,Monthly payment,-395,3491494442195,1326446861208
2254,Transfer between accounts,357,921015714413,891867919973
4990,Transfer between accounts,251,3454042912833,276132485756
1836,Monthly payment,-741,3846523047304,489438901964
2328,Account dividends,390,721814741554,3336180361254
4687,Account dividends,1137,1319538045133,1764110846157
4476,Account dividends,743,2947594003643,2461350691248
587,Account dividends,-441,53703692166,2407263822039
5299,Account dividends,892,923868643573,2999321897371
3976,Monthly payment,-68,4111970650782,1396537363919
5415,Transfer between accounts,-928,1372859089731,1326446861208
4767,Transfer between accounts,-506,1434218085270,891867919973
813,Monthly payment,201,3278346198622,276132485756
3697,Transfer between accounts,-706,3902713782290,489438901964
5359,Transfer between accounts,-54,2752082665757,3336180361254
1649,Account dividends,1130,4133588823285,1764110846157
2224,Transfer between accounts,-532,4096976541858,2461350691248
1839,Monthly payment,513,2663956057619,2407263822039
1696,Transfer between accounts,-246,662525921354,2999321897371
3179,Transfer between accounts,529,908798727616,1396537363919
4694,Account dividends,-108,3589963271266,1326446861208
1116,Monthly payment,-748,1798035393767,891867919973
1581,Transfer between accounts,1192,3596406287424,276132485756
1492,Account dividends,-706,2153387088896,489438901964
946,Transfer between accounts,405,1806607065652,3336180361254
3024,Monthly payment,-205,2456954851903,1764110846157
4583,Account dividends,551,1412633338273,2461350691248
3448,Transfer between accounts,-161,3293591664594,2407263822039
1543,Account dividends,-287,1197047616357,2999321897371
4447,Transfer between accounts,-208,4332168100871,1396537363919
1055,Account dividends,117,3175731149085,1326446861208
4301,Monthly payment,-56,711768943490,891867919973
4095,Monthly payment,-847,8755318546,276132485756
3069,Transfer between accounts,908,1891100232194,489438901964
2864,Account dividends,-778,3560310411730,3336180361254
3804,Transfer between accounts,404,363314201485,1764110846157
1773,Monthly payment,-948,4162243754964,2461350691248
1136,Monthly payment,-563,364082653393,2407263822039
626,Monthly payment,-56,3737260713689,2999321897371
1008,Monthly payment,74,2624522118189,1396537363919
3167,Monthly payment,-94,3074080267668,1326446861208
1303,Account dividends,131,4024901454185,891867919973
2459,Account dividends,90,3831200522947,276132485756
3819,Transfer between accounts,-139,2919914484742,489438901964
2090,Account dividends,689,3550105120453,3336180361254
3515,Monthly payment,-605,2146449289733,1764110846157
5448,Transfer between accounts,-835,4147749456627,2461350691248
4953,Monthly payment,913,49667209895,2407263822039
3365,Account dividends,-1080,3713753391100,2999321897371
5230,Monthly payment,266,2383084359464,1396537363919
5170,Monthly payment,452,140328845579,1326446861208
3305,Transfer between accounts,-253,1556465562734,891867919973
1322,Account dividends,-141,3030263974187,276132485756
5101,Monthly payment,429,2169557816945,489438901964
4127,Transfer between accounts,497,2533217164214,3336180361254
