account_balance,title,amount,id,account_id
4085,Transfer between accounts,-1025,1292615982947,1537667858638
4287,Account dividends,-826,3257595748733,2665173136548
3589,Monthly payment,1159,89054793109,79397406816
1969,Monthly payment,-874,3442491050230,813474496708
912,Monthly payment,-755,770008083567,99840501374
779,Monthly payment,129,3363492127130,3773269185176
3260,Transfer between accounts,-608,762182692708,1348933010773
1587,Transfer between accounts,515,504071561231,1185531695801
4403,Monthly payment,-137,643213390121,3733792551024
1733,Transfer between accounts,-950,2969459906458,3670415618852
4760,Account dividends,623,3383795475801,1537667858638
5097,Transfer between accounts,-888,462443062176,2665173136548
4980,Monthly payment,-25,1844011792501,79397406816
2680,Transfer between accounts,-129,3526551908025,813474496708
1733,Monthly payment,-983,3180942014121,99840501374
761,Account dividends,1184,3173536908297,3773269185176
3919,Monthly payment,103,3225254093176,1348933010773
3691,Account dividends,845,2411059183267,1185531695801
1027,Monthly payment,449,1027992741544,3733792551024
2967,Account dividends,987,3677401126988,3670415618852
3038,Monthly payment,-526,4268151829884,1537667858638
3587,Account dividends,-1010,342307569960,2665173136548
4833,Monthly payment,-248,3117139546134,79397406816
5172,Monthly payment,-625,2891497834550,813474496708
506,Account dividends,-1020,3610171359889,99840501374
1378,Account dividends,384,2536635158148,3773269185176
845,Account dividends,-616,411014659516,1348933010773
1827,Monthly payment,7,4335486871548,1185531695801
3928,Monthly payment,-1147,3295247727249,3733792551024
1962,Account dividends,-287,4008948216792,3670415618852
1238,Monthly payment,257,736096550676,1537667858638
4646,Transfer between accounts,-353,1713208489731,2665173136548
4900,Transfer between accounts,267,1755506627842,79397406816
3283,Account dividends,934,1802938379092,813474496708
522,Monthly payment,914,1454866229787,99840501374
3609,Transfer between accounts,-573,3623266092983,3773269185176
3325,Transfer between accounts,151,156489747955,1348933010773
4694,Monthly payment,-149,2542624143950,1185531695801
3765,Transfer between accounts,171,4310594026488,3733792551024
1187,Monthly payment,1090,4295184170915,3670415618852
4323,Transfer between accounts,381,3782111103200,1537667858638
1556,Account dividends,-891,3983000420015,2665173136548
518,Monthly payment,866,958323314128,79397406816
1506,Monthly payment,523,3610141457252,813474496708
665,Account dividends,1112,189437543547,99840501374
1684,Transfer between accounts,945,435175767816,3773269185176
3775,Monthly payment,-901,1363532339274,1348933010773
4961,Account dividends,829,2659111621124,1185531695801
5217,Transfer between accounts,-381,338055619551,3733792551024
3438,Account dividends,-843,2887472368289,3670415618852
4117,Transfer between accounts,611,2897908681969,1537667858638
4023,Transfer between accounts,895,2495617491122,2665173136548
1780,Account dividends,-600,1924315260608,79397406816
1563,Account dividends,559,3000759700981,813474496708
2540,Transfer between accounts,-1093,820883859503,99840501374
2320,Transfer between accounts,-881,390038103407,3773269185176
3191,Monthly payment,-936,2441272455071,1348933010773
1439,Monthly payment,-705,3596454658064,1185531695801
2729,Account dividends,-763,1799038056908,3733792551024
5413,Account dividends,-1079,1642280536148,3670415618852
4702,Transfer between accounts,-1040,956476296903,1537667858638
3019,Account dividends,359,4271520172691,2665173136548
1235,Transfer between accounts,-1116,1505308924329,79397406816
1861,Transfer between accounts,1144,2998187570493,813474496708
3308,Monthly payment,-562,3748708788662,99840501374
5382,Transfer between accounts,-828,3080149406746,3773269185176
1506,Account dividends,337,2013395164015,1348933010773
5218,Monthly payment,-872,2015028846623,1185531695801
2123,Account dividends,178,3958490562902,3733792551024
5015,Transfer between accounts,96,890756040102,3670415618852
3522,Monthly payment,990,3698252496638,1537667858638
2474,Transfer between accounts,519,1786486281578,2665173136548
4435,Transfer between accounts,60,698155955279,79397406816
2316,Account dividends,537,3557671928856,813474496708
3735,Transfer between accounts,-540,2103224970997,99840501374
1509,Monthly payment,-430,4209565010252,3773269185176
398,Account dividends,80,1975080962637,1348933010773
4546,Account dividends,739,822263781342,1185531695801
2407,Monthly payment,695,2217736517171,3733792551024
4651,Monthly payment,152,2567421188816,3670415618852
458,Transfer between accounts,1084,4212404234424,1537667858638
1239,Monthly payment,612,3890547748070,2665173136548
4549,Transfer between accounts,1147,1440094369822,79397406816
641,Account dividends,185,1140407029601,813474496708
3362,Account dividends,556,3595132449400,99840501374
4128,Account dividends,-851,3204773718043,3773269185176
1090,Monthly payment,-249,3585307587589,1348933010773
1383,Monthly payment,-886,2978673724596,1185531695801
759,Transfer between accounts,-1034,3690712071437,3733792551024
3375,Account dividends,-437,1334918341330,3670415618852
4500,Monthly payment,396,1045557047117,1537667858638
3334,Account dividends,111,4286619191204,2665173136548
3403,Monthly payment,258,3410272186301,79397406816
2878,Transfer between accounts,-1164,1607712549688,813474496708
5346,Account dividends,723,2342859249761,99840501374
1283,Transfer between accounts,-1015,2914082619920,3773269185176
961,Account dividends,-868,995069539695,1348933010773
3130,Transfer between accounts,-69,1558534323578,1185531695801
2684,Transfer between accounts,340,818069807212,3733792551024
799,Monthly payment,-37,3291836603428,3670415618852
